year,trade_date,manager_a,manager_a_players,manager_a_playoff_keepers,manager_a_season_keepers,manager_b,manager_b_players,manager_b_playoff_keepers,manager_b_season_keepers
2013,2013-10-17,Russ,"""Maurice Jones-Drew, Reggie Wayne, Le'Veon Bell""",,,Brad,"""Alfred Morris, Vincent Jackson""",,
2013,2013-10-23,Russ,Danny Amendola,,,Brad,Chris Ogbonnaya,,
2013,2013-11-14,David,T.Y. Hilton,,,Brad,Robert Griffin III,,
2014,2014-09-07,Matthew,Vernon Davis,,,Brian,Darren Sproles,,
2014,2014-10-22,Matthew,Rob Gronkowski,,,David,"""Lamar Miller, Brandin Cooks""",,
2014,2014-10-27,Russ,"""Cecil Shorts III, Jordan Reed""",,,Brad,"""Joique Bell, Philip Rivers""",,
2014,2014-10-29,Jesse,Frank Gore,,,Brad,Brandon Marshall,,
2014,2014-11-19,Jesse,"""Roddy White, Carlos Hyde""",,,Matthew,Julio Jones,,
2015,2015-08-30,Brad,Knile Davis,,,Jesse,"""DeAngelo Williams, Jonas Gray""",,
2015,2015-09-16,Eric,"""Latavius Murray, Donte Moncrief, Davante Adams""",,,Jesse,"""A.J. Green, Brandon LaFell""",,
2015,2015-10-01,Russ,Keenan Allen,,,Jesse,"""Andre Ellington, David Johnson""",,
2015,2015-10-01,Tom,Danny Woodhead,,,Russ,Martavis Bryant,,
2015,2015-10-08,Tom,Alex Smith,,,Brian,Jonathan Stewart,,
2015,2015-10-16,John,Andy Dalton,,,David,"""Thomas Rawls, Sam Bradford""",,
2015,2015-10-18,Sean,"""Packers D/ST, Greg Olson""",,,Russ,Dez Bryant,,
2015,2015-10-20,Sean,Matt Forte,,,Russ,"""Danny Woodhead, Doug Martin""",,
2015,2015-11-18,Jesse,"""Latavius Murray, Jeremy Langford""",,,David,"""Adrian Peterson, Chris Polk""",,
2015,2015-11-18,Jesse,Adrian Peterson,,,Eric,"""Darren McFadden, A.J. Green, Gary Barnidge""",,
2016,2016-09-26,Jesse,Matt Jones,,,Tom,Jeremy Maclin,,
2016,2016-09-28,Brian,"""Ben Roethlisberger, Ryan Mathews""",,,David,"""Latavius Murray, Dennis Pitta""",,
2016,2016-10-13,Matthew,"""Larry Fitzgerald, Delanie Walker""",,,Russ,"""Melvin Gordon, Victor Cruz""",,
2016,2016-10-13,Brad,Brandon McManus,,,Jesse,Steven Hauschka,,
2016,2016-10-20,John,Frank Gore,,,Evan,Martellus Bennett,,
2016,2016-11-23,Eric,Theo Riddick,,,David,Allen Robinson,,
2016,2016-11-23,Brian,"""Matt Ryan, Willie Snead""",,,Jesse,"""Antonio Gates, Cameron Meredith""",,
2017,2017-09-21,Russ,Eric Ebron,,,David,Ted Ginn Jr.,,
2017,2017-10-02,Russ,Ezekiel Elliot,,,David,Ryan Succop,,
2017,2017-10-03,David,"""Antonio Brown, Thomas Rawls""",,,Tom,"""A.J. Green, Jonathan Stewart""",,
